text,label1,label2
This is a poorly ran restaurant. No one manages seating and the line went out the door for people paying to get out of the restaurant. Five empty tables and no one seating the long line of people waiting to eat. They need an experienced hostess. No management oversight. We asked if we could seat ourselves since we were second on the wait list and got barked at by the Vietnamese waitress to just wait.,Business Category: Restaurants,Review Stars: 1.0
"Falafel were greasy 'salad' was sparse, and the oil used for the fries was old. Never again. Ordered takeout, threw it all away and ordered elsewhere. Disgusting",Business Category: Restaurants,Review Stars: 1.0
Came in a hour before they opened and all of the food was cold and old on the buffet! They must just save all.of their old food and refrigerate for the next day,Business Category: Restaurants,Review Stars: 1.0
They don't follow any covid guidelines and obviously don't care about the millions dead. Nobody is wearing masks. I've heard of many people getting roofied here as well. Not a good establishment.,Business Category: Restaurants,Review Stars: 1.0
I'm sorry the service was horrid. The hummus  very  gritty with hardly any olive oil and the baklava was super dry hardly any honey. I may give them another chance because it was so late on Saturday. The onion rings looked really good but hardly any meat on the gyro.  So I don't know. I'm a sucker for Greek food so I will try.,Business Category: Restaurants,Review Stars: 1.0
"If I could give this place ZERO STARS I would.  We booked this hotel for a weekend trip to Tucson seeing it was decently rated on Expedia.  After reading the hotel check in policies, which only stated check in and check out times, we were SHOCKED to arrive at the hotel in the cold 30-something degree night to find the LOBBY was CLOSED!   We called the 2 different emergency contact phone numbers posted on the door and neither calls were answered.  Seeing as how our flight landed at 11:45pm we couldn't have checked in any earlier.   I've NEVER been to any other hotel/motel which was closed at any hour of the day.  It was mind-boggling to think that no one answered either calls on their emergency lines, nor did they have anyone at the front desk to check us in (when the reservations were already booked).   We were able to get a refund through Expedia, but did not get any explanation beyond the statement that this hotel apparently closes their lobby at 10pm.   This was NOT noted anywhere in our reservation information.  In fact, the emergency numbers were listed in case hotel guests got locked out of their rooms.  What happens to guest who arrive after they decide to close?  There was NO contact for us to get any assistance.  I found this to be particularly unprofessional and unacceptable for a lodging establishment.  Needless to say, we had to find different accommodations and I would NEVER recommend this establishment to anyone.",Business Category: Restaurants,Review Stars: 1.0
Came here with a group of friends. The restaurant was semi busy but nothing that service couldn't handle. Atleast that's what I thought.   We were sitting in the bar area and ordered our drinks and waited probably 15 mins for the overpriced margarita pitcher that was lacking alcohol and from here it only got worse. Our entire table ran out of Chips and Salsa and were never refilled even after asking multiple times to multiple servers.   When our food finally came out it was okay but nothing I'd ever crave. I could get the same or better food anywhere else for cheaper.   Toward the end of dinner we were going to try and order another pitcher of margaritas before heading to the bars but the server just never came back after dropping the checks off the same time our food was dropped off.   Some of the worst service I've ever received.,Business Category: Restaurants,Review Stars: 1.0
Came with some girlfriends and had an awful experience. 2 of our orders never came out. My drink took an hour to receive but I had same drink as the others. When we finally spoke to a manager he didn't apologize- just ridiculous. Won't be back!,Business Category: Restaurants,Review Stars: 1.0
"Only thing going for this place is the great location .My husband ordered the jambalaya it was cold and tasted old, it didn't even look appealing. He sent it back and chose not to order anything else.In this town you gotta bring your A game. I ordered a crab  cake and a crawfish pie with a side of Cajun potatoes I wasn't wowed. My opinion eat somewhere else.",Business Category: Restaurants,Review Stars: 1.0
"We went to Five Guys because we wanted to try something new, my fiancee ordered a cheeseburger, and I ordered a hotdog with cheese. First off they only cook your burger well done which was the first red flag this is a sign of a frozen patty. When we got our food the cheese on neither the burger or the hotdog was completely melted it was one of the saltiest and nastiest tasting hot dogs I have ever had and I'm NYC the home of Nathans. My fiancee said her hamburger tasted like chemicals the only saving grace were the fries they we cooked and seasoned very well. I will never eat here again or recommend it to anyone else definitely a wash.",Business Category: Restaurants,Review Stars: 1.0
