text,label1,label2
This was by far the worst visit... no pretzel dogs were made... the girl at the register seemed to be in a rush to leave! And then I asked for two pretzels in a bag to go and when I get to work they are both burnt!! Gross!!! The slogan says we're so much more than just fresh pretzels! Maybe we should focus on getting a nice soft pretzel like your slogan!,Business Category: Restaurants,Review Stars: 1.0
The only thing good here are the drinks and the location. They dunk their tacos in a tangy red sauce that does not complement the food at all. There were seven of us that ain't here and not one person enjoyed their meal. Things tasted very bitter and dry.,Business Category: Restaurants,Review Stars: 2.0
"6 beers ordered for a group of 6, all beers flat!!! Brought it to the attention to the bartender, didn't acknowledge and didn't concern him. Not a good experience when you're drinking flat beers.",Business Category: Restaurants,Review Stars: 1.0
"Poor service, poor quality  & somewhat over priced. Tourist trap.pretty awful food run down facility with zero atmosphere. If you really want good Mexican go about a Block & 1/2 towards the bridge.",Business Category: Restaurants,Review Stars: 1.0
"Ate here Thursday June 12th.  It was roughly 9:00PM, I had crawfish etouffee, my wife had gumbo and shrimp, and my son had shrimp.  The food was ok kind of bland I have had better for less.  The service was so/so due to we always had to flag down someone because we were rarely checked on and the place really wasn't busy.",Business Category: Restaurants,Review Stars: 3.0
"Not bad, just not very good either. Cosi is one of those places I've been to so many times over the years and yet no one experience is significant enough to warrant even much of a review. The food is mediocre (at best sometimes) and the fact that they don't have any table service is both a plus and minus at times. Really, the only reason I bother going here is if I need to meet someone for a quick bite but need it to be more substantial an establishment than the deli for a sub. The salads are wilted and sad most of the time (although huge). The sandwiches are pretty pathetic and waayyyy overpriced for what you get. The only real plus is the squagels (square bagels) but they stop serving those at 11am so I rarely have a chance to get them. Basically, it's a good spot to grab a quick (albeit boring) lunch on Walnut street.",Business Category: Restaurants,Review Stars: 2.0
"We've been here at least twice.  The first time was excellent!  However, the second time which was around May/June, a few strange things happened.  First, our food took an exceptionally long time.  Second, someone who we thought to be a substitute chef, came out to apologize for having left an item off of one of the dishes (it wasn't one of ours).  Third, our server took our bill and cash and didn't come back (which would have meant an exorbitant tip).  We had to ask the other server to go find her.  We were one of the last two couples in the restaurant, so it wasn't as though they were really busy.  Very strange.  We just noticed they changed their concept to a more casual café, so we're not sure if we'll return.",Business Category: Restaurants,Review Stars: 2.0
"Better than usual meal.    Thai curry style mussels - tasty and spicy with cocoanut milk Burger with foie gras - always a winner - consistently good, nice and crispy sweet potato fries Duck breast with sweet potato purée and corn relish - very good - the duck could have been a bit rarer Salmon filet with celery root purée and orzo, fennel, kalamata olive salad special- very yummy.  Perfectly cooked salmon.   Macadamia nut cheesecake - moist and creamy with toasted macadamias and caramel sauce - almost took an extra slice home.  Service. Not as good.   Listened to the male.  Ignored the female.   Guess she( the waitress) didn't know who was calculating the tip tonight.",Business Category: Restaurants,Review Stars: 4.0
"The food is good but the online menu doesn't seem to match the menu in the restaurant. At least for what I tried to order. I ordered online and went to pick it up about 20 or more mins later. When I got there, they hadn't even started cooking my order, so I had to wait, which wasn't a big deal....BUT then things kinda went left. I ordered an entree based on the description on the menu. What I got was totally different. Tried showing them the online menu to let them see that what they gave me doesn't match. But they said I received what I ordered. They did offer to remake it but at that point I didn't have the time, and it almost seemed like what I ordered was not even a menu item. They did refund me. And the food I've eaten from here in the past was good. But  this was a crummy experience.",Business Category: Restaurants,Review Stars: 2.0
"I grew up loving Steak 'n Shake. At the time, they were only located off of interstates so it was a treat to get a steakburger, shake, and shoestring french fries. The service was always excellent and the food was fresh. This particular location doesn't embody that legend. The servers are nice but always seem stressed out and short staffed. If they forget a straw, napkin or you need something extra, be prepared to wait a while. The food is mediocre at best and seems haphazardly prepared. The restrooms could use a total remodel. Over all, I think I will satisfy my SnS cravings at a different location....at least until this one gets new management.",Business Category: Restaurants,Review Stars: 2.0
"If I could give this place 0 stars I would: they charge my boyfriend a 18% tip for going to eat with his family. The service was horrible. He waited over 8 minutes to get one refill of water. The server never checked in to make sure anything was okay. She was one of the worst servers I've ever had. Pinkish mask on, short with brown hair. I called to speak to the manager & they passed me to the busboy. Not the manager. Beware of this place. They said they charge parties of more than 12 a 18% gratuity. 2 of those ""12"" people didn't eat. You do the math. This place is pathetic with very pathetic people working. Educate your waiters because that rude little girl said 12 or more, oh & your busboy/owner. Lmao. Also try replying to other reviews as well. They would like to hear back from you too, those people were very disappointed with service & food as well. Make that right for them!",Business Category: Restaurants,Review Stars: 1.0
"After my first time at Serpico, I left impressed but not wowed by what I ate.  Sure, certain portions of my meal were wonderful but I hadn't experienced the bliss that I was expecting to get when I went into the meal.  This was unfair of me and on a subsequent visit I was thoroughly impressed and have officially become a fan of this place.  What impressed me the most about Serpico was that even though the house was packed, with all seats full, both in chairs and at the counter (where I sat), the kitchen didn't seem to miss a beat.  They just kept on in perfect fashion and food just kept rolling out.  Big props to the staff on that.  The hand torn pasta that we shared was peculiar because on first bite I wasn't expecting the taste of snail.  As I continued eating it though, it grew on me and by the end of the dish, I really enjoyed it.  The pig tail, a special that evening was marvelous.  It was falling of the bone and sitting on a bed of polenta that had hot sauce all over it.  I think the kitchen was having fun and I appreciated eating what they turned out.  The lamb ribs for two also did not disappoint in the least.  It was a hefty portion and the texture on this dash was also fantastic.  The yogurt was an excellent opposite flavor to the spicy vegetables that were also alongside the meat.  The sauce for the ribs themselves tasted very complex and was sweet, salty, a bit sour and just left me puzzled as to how they made it.  It looks like Serpico is here to play and I like it.  I was unsure how they would fit on south street but it seems like people are filling the seats and the kitchen is putting out the good stuff.",Business Category: Restaurants,Review Stars: 4.0
"Awful, was told 20 mins. Waited an hour and everything was cold. The people at the counter where very rude..never going back",Business Category: Restaurants,Review Stars: 1.0
These wings were soggy tasteless & a waste of $12 & who the hell puts sliced garlic cloves on wings NEVER AGAIN !,Business Category: Restaurants,Review Stars: 1.0
